"No.","Time","Source","Destination","Protocol","Length","Info"
"71","3.637324","192.168.0.5","192.168.0.2","TCP","66","6044  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"72","3.637354","192.168.0.5","192.168.0.2","TCP","66","6045  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"73","3.638234","192.168.0.5","192.168.0.2","TCP","66","6046  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"74","3.638298","192.168.0.5","192.168.0.2","TCP","66","6047  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"75","3.640353","192.168.0.5","192.168.0.2","TCP","66","6048  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"76","3.640416","192.168.0.5","192.168.0.2","TCP","66","6049  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"77","3.640447","192.168.0.5","192.168.0.2","TCP","66","6050  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"78","3.641688","192.168.0.5","192.168.0.2","TCP","66","6051  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"79","3.641751","192.168.0.5","192.168.0.2","TCP","66","6052  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"80","3.641782","192.168.0.5","192.168.0.2","TCP","66","6053  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"81","3.642862","192.168.0.5","192.168.0.2","TCP","66","6054  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"82","3.644126","192.168.0.5","192.168.0.2","TCP","66","6055  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
